Product Name,Cost Price,Selling Price
كونتكتير CHNT 40A 2508,10.5,15
Energizer Battery AAA x2,0.9,1.77
Energizer Battery AA x2,0.9,1.77
تحويلة كبس لبرمB22-E27,0.25,1
دجنتير اشتراك CBI 40A,8.5,11
باتير,0.12,0.2
لمبة ديكور G45 4w,0.6,1
غطاء 70,0.13,0.25
جرس Wireless Alpha 9615,3.9,6
دجنتير اشتراك CBI 20x3A,23,26
بروجيكتر 50w,4.5,8
Fuse DC,0.6,2
Fuse AC,0.13,0.55
علبة جمع مخفي 10x10,0.5,1
علبة جمع مخفي 15x15,0.85,1.5
علبة جمع مخفي 20x20,1.1,2
Battery Charger 30A Sunchonglic,19,24
ساعة فحص UNIT 200,15,18
شفاط صناعي FA20,10.5,15
ساعة تابلو Potric V/A/Hz,9,15
نواصة ليد سنسر Cosmostar,3.4,6
دوي فيش,0.25,1
اوتوماتيك درج Aelifv,4.5,9
تايمر 24Hrs Aelifv,8,10
ريليه مع قاعدة 220v Aelifv,2.2,4
بروجيكتر 100w,10,15
كونتكتير 3PH Kripal,7.25,10
عداد مفرد Aelifv,5.75,8
تعليقة مروحة,0.45,1
بوبين مروحة 2uf,0.5,1
حماية براد Aelifv,4.5,7
ساعة حماية Aelifv,4.5,8
LED Bulb YGT 13w,0.5,1
Strip LED 5m 12v,4.5,8
Rope Chain 25m YGT,18,23
Rope Chain 15m YGT,11,15
Rope Chain 10m,5.5,10
Astro Light,8,15
Alteco Spray,1.45,3
Sonax G2100,1.65,3
Smart Wifi Camera Duos,14,22
Camera v380 E27,7.5,14
ساعة فحص كبير,4.75,8
ساعة فحص صغير,4.75,6
تست 12v,0.85,2.5
مروحة سقف حديد SMC,40,45
بنسا تفييش انترنت INGCO,5.5,9
فيش كاميرا BNC,0.3,1
مقدح Ingco 12v عرض بطاريتين+فرد شمع,34,40
Colored LED Bulb with Remote,2,4
قطاعة INGCO,2.25,5
T6 120cm 72w,3.75,7
مقدح بطارية رأس حديد 20v INGCO,96,105
Distelled Water مياه مقطرة,2.2,3.3
بارفاز 1p,2.75,5
علبة ماجيك 6M,0.75,1
علبة ماجيك 4M,0.6,1
قاعدة ريليه,0.45,1
وصلة بشريط 3way 5m,2.25,4
INGCO مقدح SDS + خلاط,92,105
"Tools Box 13""",2.75,5
"Tools Box 16""",4.75,8
"Tools Box 18""",6.75,10
"Tools Box 21""",9.5,14
غطا متمن,0.06,0.3
غطا كهرباء 20x20,0.65,1
غطا كهرباء 15x15,0.5,1
دجنتير اشتراك 30A CBI,7.35,10
Kitchen Balance,2,5
Strip LED 100cm 12v,0.52,1.1
شاسيه تلفزيون كبير,1.6,3.5
Modularكونتكتير SGT,7,10
Aelifv دجنتير Smart WIFI,13.5,17
سنسر سقف,4.5,7
فراش مروحة تايواني,2,4
Colored LED Bulb 9W,1.5,2.5
strip LED RGB 5m,5.5,10
Mirror Globe Sandwich,5,8
Colored T5 60cm,2.55,4
Colored T5 120cm,3,6
رزاز,0.07,0.3
ستلايت Splitter 2way,0.6,2
ستلايت Splitter 3way,0.75,2
حرامي,0.25,0.55
فيش خليوي جوكر,0.35,1.1
CashCable 60x100,3.7,6
CashCable 60x80,3.5,5.5
مفتاح ظاهر Sopoka,0.55,1
LED Bulb 5w,0.45,1
حرامي Sopoka,1.15,2.5
فيش انثى Sopoka,0.65,1.1
دجنتير اشتراك CBI 3x10A,23,26
oval globe,2.5,4
دجنتير اشتراك CBI 25A,7.35,10
كونيكتر JBC2,1.5,2
كونيكتر JBC1,1.1,1.5
LED G9,0.85,1.5
Bomba LED Bulb 100w,4.6,9
Bomba LED Bulb 80w,3.65,6
Bomba LED Bulb 60w,2.6,5
Bomba LED Bulb 50w,2.1,4
Bomba LED Bulb 40w,1.85,3.5
Bomba LED Bulb 30w,1.45,2.5
Bomba LED Bulb 20w,1.1,2
دجنتير هاوس مجوزSGT,2.15,5
دجنتير هاوس مفرد Aelifv,1.65,3
